cycles,value,time
50,54.2866,2.661
50,50.4125,2.8115
50,49.3608,2.3454
50,46.9812,2.7321
50,57.2709,2.324
50,46.0995,2.49
50,52.5874,2.6199
50,54.1507,2.5951
50,54.7386,2.6264
50,61.2155,2.0734
50,51.896,2.2513
50,51.7488,2.554
50,46.006,2.626
50,55.5237,2.234
50,47.6343,2.263
50,56.4175,2.302
50,47.1784,2.5807
50,48.7342,2.6622
50,51.862,2.5467
50,53.6676,2.2682
50,53.5012,2.54
50,44.9821,2.561
50,47.7849,2.385
50,49.099,2.532
50,48.3587,2.468
50,58.6166,2.7298
50,46.7254,2.4422
50,55.1861,2.119
50,47.6802,2.509
50,52.9568,2.7279
50,53.1551,2.703
50,47.7856,2.2981
50,55.0619,2.4578
50,54.2261,2.576
50,51.6674,2.194
50,47.396,2.7526
50,48.0966,2.1444
50,52.3537,2.206
50,46.2055,2.513
50,54.1525,2.349
50,53.2038,2.3717
50,59.4011,2.8872
50,54.6721,2.5431
50,52.2529,2.487
50,50.2279,2.5339
50,47.509,2.5011
50,56.0138,2.355
50,55.1628,2.588
50,48.1264,2.4579
50,52.941,2.4049
50,47.8862,2.538
50,51.3467,2.4039
50,54.5036,2.6122
50,51.6891,2.3208
50,56.544,2.604
50,59.1295,2.5551
50,53.711,2.408
50,52.8916,2.5389
50,55.5158,2.7744
50,55.3097,2.8355
50,54.7702,2.535
50,55.8266,2.387
50,55.6681,2.7677
50,46.5764,2.5437
50,56.6545,2.8035
50,45.7403,2.6949
50,48.2803,2.6361
50,46.7983,2.453
50,51.8871,2.524
50,49.2501,2.6501
50,54.9914,2.262
50,60.1483,2.301
50,54.2772,2.256
50,55.7599,3.0409
50,46.2106,2.2861
50,53.6398,2.43
50,56.5346,2.1161
50,59.7344,2.3092
50,46.9578,2.7378
50,51.6192,2.462
50,51.5715,2.527
50,55.6485,2.5281
50,55.761,2.288
50,53.0351,2.542
400,61.7045,13.9567
400,58.0313,14.3072
400,62.8651,19.394
400,57.9415,19.944
400,63.4887,21.8188
400,58.9791,19.7985
400,58.2476,19.4912
400,57.8584,21.9279
400,57.7837,20.1173
400,58.4088,18.3024
400,58.5062,21.9102
400,58.5389,19.6962
400,62.8892,22.8987
400,58.493,21.3571
400,57.6741,18.815
400,57.8016,19.5302
400,56.2443,22.7709
400,63.0341,19.2672
400,62.3123,19.7173
400,58.3097,18.9234
400,58.8097,22.0486
400,57.7167,21.5065
400,63.8351,21.5389
400,56.3852,18.7408
400,57.8016,22.0205
400,58.9042,24.1076
400,59.3059,23.742
400,62.1838,21.9751
400,59.1789,22.1886
400,61.0902,19.3163
400,57.1556,19.1673
400,62.7348,20.1095
400,58.8933,19.7207
400,59.3076,22.0614
400,62.2898,21.449
400,57.2983,21.3948
400,60.0013,19.0709
400,57.2738,19.8775
400,63.2585,22.5876
400,58.1288,21.6876
400,56.1566,23.5453
400,62.572,19.6662
400,58.4772,20.3107
400,62.8452,23.0259
400,58.1999,22.6396
400,57.7199,21.9243
400,57.9841,21.3947
400,63.5591,20.3507
400,56.4601,22.5678
400,56.7513,23.8502
400,58.3209,21.5002
400,63.4354,20.1147
400,59.9233,18.9609
400,61.6119,22.2634
400,58.0875,18.9829
400,61.0342,23.284
400,58.3379,18.4658
400,57.9357,21.1016
400,63.9569,19.3664
400,57.3194,21.8867
400,62.6165,19.0062
400,63.4553,21.7362
400,58.5974,21.5093
400,63.8397,22.6544
400,57.3875,22.4863
400,57.5009,18.4861
400,58.1218,22.4483
400,62.6071,23.3402
400,62.1669,17.7795
400,63.6517,21.6813
400,62.3267,20.4132
400,62.6796,22.4634
400,55.4463,19.5973
400,59.44,22.4
400,57.165,20.7797
400,57.1648,21.7753
400,61.8891,20.5995
400,62.5858,21.1635
400,58.287,18.5884
400,58.7097,18.6769
400,59.0685,21.7512
400,57.0652,18.6032
400,62.8663,19.6065
400,59.1865,20.4249
400,58.5537,22.0478
400,59.6608,22.4984
400,59.0126,20.2868
400,58.5493,21.8538
400,58.5426,22.7502
400,58.8137,22.1153
400,62.7507,23.7098
400,57.8164,20.9993
400,62.1963,19.3393
400,58.9404,20.7415
400,58.0788,19.695
400,62.641,21.1528
400,62.0009,19.3721
400,58.0248,19.9233
400,63.9918,18.8508
400,59.9061,17.6566
400,59.5766,20.5073
400,59.1949,19.7925
400,62.5961,19.8106
400,58.318,21.2748
400,57.6774,20.7685
400,57.7986,21.1617
400,61.5903,23.2207
400,57.2951,21.7625
400,58.0773,22.9886
400,58.6774,21.0877
400,63.3064,19.0289
400,57.8858,21.7381
400,58.5022,19.757
400,62.2803,17.2894
400,61.6128,20.8201
400,57.1507,22.3617
400,57.3276,20.7659
400,58.0019,18.8773
400,63.8185,23.158
400,62.9677,19.1967
400,63.7115,18.5467
400,57.4675,20.0444
400,58.439,21.7327
400,62.8624,21.7758
400,61.7728,23.3775
400,61.8746,21.344
400,58.5888,22.2136
400,63.8412,21.0963
400,57.4555,18.7847
400,58.0885,20.0082
400,59.4047,21.7828
400,57.6562,19.3493
400,57.8516,19.9177
400,62.0863,20.8559
400,62.1212,20.3913
400,57.9447,21.1255
400,59.8156,19.8313
400,58.9041,22.6943
400,62.2598,20.3184
400,58.9616,21.328
400,59.7202,22.9235
400,63.9755,22.5453
400,62.5339,20.533
400,63.8681,23.3758
400,56.5431,22.7161
400,58.9768,20.7462
400,59.7082,21.5625
400,61.914,19.0064
400,57.2653,20.0884
400,57.6277,22.0876
400,57.7724,21.9619
400,62.1999,20.1907
400,59.743,20.626
400,56.9879,18.5704
400,57.3916,20.4831
400,62.4085,20.4152
400,57.4065,21.8731
400,63.5046,18.6666
400,62.3375,22.4207
400,58.4409,22.9757
400,62.6177,20.7064
400,58.8602,21.129
400,58.4082,22.9821
400,58.1475,20.4204
400,59.2527,20.1997
400,56.4218,18.2804
400,58.3067,20.198
400,58.6259,22.3334
400,63.7115,20.139
400,62.1047,18.6797
400,61.3689,23.3885
400,62.347,20.2477
400,59.63,21.0466
400,63.1374,18.9677
400,61.4665,22.0107
400,62.3358,20.038
400,58.2149,22.9678
400,63.276,17.5111
400,55.499,21.2442
400,58.0875,21.8753
400,59.2866,21.3766
400,57.2809,21.6087
400,57.3204,21.5082
400,57.6541,19.5635
400,58.3487,22.4759
400,58.2144,20.6639
400,58.9531,20.1392
400,62.3683,23.113
400,59.8156,22.0432
400,63.5088,21.6674
400,56.2901,19.4271
400,58.1664,19.6496
400,58.8345,22.1268
400,58.2208,21.404
400,59.0894,22.3583
400,62.1005,20.2147
400,60.9244,19.3507
400,58.2483,21.3962
400,62.4504,22.3055
400,58.5585,19.8422
400,63.9915,20.8157
400,56.8986,19.8754
400,58.7276,19.6443
400,57.6495,19.7838
400,57.9463,20.0875
400,63.4814,21.5661
400,62.7505,21.1033
400,63.876,21.1474
400,62.0735,21.9832
400,58.3874,20.5934
400,56.3218,19.2145
400,60.7402,18.4307
400,58.6684,21.4849
400,62.7924,19.3942
400,62.4532,20.2965
400,62.9836,18.8314
400,59.5664,18.0351
400,63.1702,22.5854
400,57.5828,20.2685
400,57.3488,21.3366
400,59.0117,20.8023
400,58.9977,19.8004
400,62.2204,22.5897
400,58.0972,18.7398
400,62.7096,21.9523
400,57.1009,21.0282
400,63.2691,19.3488
400,62.7528,22.8874
400,61.9052,18.0215
400,56.0629,20.7409
400,56.4339,19.7814
400,57.7346,18.8549
400,59.0409,23.755
400,56.6113,20.1605
400,58.7286,21.2054
400,58.0874,18.6444
400,56.3612,21.0845
400,56.5559,19.1265
400,58.9752,24.1577
400,63.1064,20.8134
400,58.8873,22.433
400,63.5768,21.4011
400,62.3408,21.6858
400,57.5593,20.5781
400,58.5438,20.6863
400,62.6514,19.6895
400,58.7745,21.3203
400,57.3848,19.9912
400,57.849,21.8884
400,57.4659,21.3585
400,63.0986,21.0141
400,57.3224,18.9349
400,62.853,23.2868
400,57.7999,23.4306
400,57.6691,21.4
400,58.9374,18.7963
400,57.5926,19.8746
400,60.9032,19.5443
400,63.0688,20.9262
400,63.2139,19.0285
400,57.6041,20.9963
400,62.0266,20.503
400,56.9869,21.1108
400,55.8782,18.7029
400,57.9651,20.8652
400,62.8467,23.4244
400,62.5491,21.7259
400,59.1381,20.5934
400,57.4686,18.2818
400,58.8851,19.9507
400,63.8301,22.0819
400,59.1999,22.2731
400,58.3108,21.3642
400,58.4363,18.0815
400,57.8797,21.5002
400,57.1059,20.5231
400,63.8397,21.7238
400,58.3857,20.6877
400,62.5863,20.9758
400,58.1848,20.2171
400,63.0511,21.0956
400,64.3174,19.7157
400,59.2255,19.5672
400,57.201,18.952
400,63.0116,20.8125
400,58.8743,20.0908
400,57.6966,21.0398
400,60.8322,19.8443
400,63.3857,21.9738
400,57.347,20.4467
400,62.8532,23.0524
400,64.3014,20.8975
400,63.9189,21.0387
400,58.1241,21.097
400,62.6006,20.3279
400,57.5009,19.7033
400,58.4501,20.8211
400,58.4739,21.6479
400,58.4899,19.4594
400,62.3375,20.7941
400,59.6608,22.1117
400,58.8138,18.7529
400,58.9755,20.6002
400,58.8821,20.6452
400,56.7152,21.219
400,62.6188,21.689
400,63.6228,20.2645
400,57.6842,20.2939
400,62.6826,21.3923
400,59.6638,21.4596
400,63.3697,21.09
400,63.7424,21.8413
400,57.3767,20.3629
400,62.922,18.981
400,61.1783,24.0767
400,58.998,20.3682
400,58.0038,21.9324
400,63.3857,21.006
400,58.5919,20.9552
400,58.0772,20.5639
400,58.9789,22.691
400,58.9554,17.9114
400,63.3969,22.1685
400,58.927,23.1679
400,63.4217,20.5799
400,57.4368,20.227
400,58.0396,18.7895
400,56.0866,24.7347
400,56.1782,21.4571
400,57.048,22.4098
400,58.998,19.2083
400,62.9538,21.4819
400,58.435,18.972
400,62.0412,18.7624
400,59.1949,21.7301
400,59.5193,21.4152
400,63.9918,19.9082
400,56.7369,20.9115
400,57.2734,21.6125
400,58.1616,21.016
400,58.3777,19.744
400,63.6334,20.23
400,58.8881,21.0143
400,58.7817,20.1644
400,58.6481,21.6739
400,58.6953,21.4093
400,63.1548,19.0127
400,63.7767,19.4576
400,59.1949,20.3835
400,59.2133,23.3702
400,57.2278,20.84
400,62.4651,23.456
400,57.8503,21.151
400,61.3524,20.026
400,58.1294,22.0901
400,58.8314,20.1931
400,58.8768,22.0282
400,58.5426,21.4307
400,56.7731,19.6738
400,56.5371,21.4342
400,59.0628,20.6489
400,59.4047,21.3569
400,56.8022,20.6211
400,63.2118,18.8201
400,58.1605,20.3544
400,58.7771,20.4149
400,58.0097,22.2324
400,58.4842,21.9183
400,58.2366,19.8835
400,58.7745,20.9353
400,58.1911,20.4402
400,60.7426,20.4645
400,62.6722,23.24
400,62.6367,20.2494
400,58.4219,23.0711
400,63.9466,19.7875
400,58.2917,20.324
400,58.1511,20.8783
400,58.7051,22.9845
400,63.0658,22.3921
400,63.1777,21.3021
400,58.9817,18.516
400,57.6972,21.4339
400,58.9835,23.6367
400,64.2392,23.4459
400,62.7005,20.1139
400,62.6481,20.4979
400,63.168,22.1084
400,58.3133,20.5872
400,57.0375,21.4612
400,62.2935,21.3372
400,58.4682,18.5091
400,58.342,19.6654
400,57.2395,20.2178
400,63.3612,22.2909
400,58.8989,18.1621
400,63.0443,22.0348
400,58.322,22.6313
400,57.2631,20.1558
400,59.7763,20.997
400,56.5118,21.8426
400,62.5133,21.5426
400,57.612,21.6015
400,58.1495,24.4456
400,59.0845,20.8963
400,57.4846,21.8088
400,58.0478,18.7459
400,62.8968,19.7071
400,63.1018,19.8097
400,58.5913,18.6419
400,55.7243,21.034
400,63.4158,21.8125
400,57.8797,21.631
400,57.8618,19.0204
400,58.2293,23.0344
400,56.4834,18.8725
400,58.9306,20.0278
400,57.8986,19.5505
400,61.0243,19.2934
400,61.9853,18.9614
400,57.3059,21.2732
400,63.2944,19.5954
400,58.893,20.9775
400,57.3609,19.2752
400,57.709,22.9991
400,62.7563,19.4224
400,59.0845,21.8027
400,62.5054,22.9932
400,62.2936,20.1921
400,56.1832,22.6132
400,61.7365,22.3726
400,58.6737,20.0617
400,59.3076,22.6663
400,62.1373,20.6965
400,58.9251,20.306
400,64.1937,20.0392
400,57.5643,15.8976
400,57.6617,14.5799
400,61.8921,15.4305
400,62.9577,14.5855
400,62.1131,15.291
400,56.9025,14.976
400,62.3675,15.2308
400,56.268,14.9561
400,63.2905,14.9718
400,61.36,15.0174
400,62.668,14.9412
400,58.5197,14.7638
400,57.4069,14.9454
400,63.8168,14.5137
400,60.6036,14.2444
400,56.5504,14.7101
400,56.8709,14.7951
400,62.6793,14.9069
400,63.2118,15.1697
400,57.9372,14.8783
400,64.3174,14.7951
400,61.6882,15.248
400,56.3581,14.7319
400,57.6648,14.8839
400,58.0739,14.8089
400,57.4364,15.0459
400,57.544,14.8418
400,63.48,14.3692
400,55.8613,14.8542
400,57.5094,14.8831
400,59.3076,14.9054
400,57.9536,15.8805
400,58.0162,14.8037
400,59.4119,15.4371
400,58.6221,14.7893
400,62.531,14.8078
400,57.9426,14.9709
400,56.811,14.6929
400,63.1267,14.9875
400,58.4365,15.0601
400,57.8289,14.9933
400,58.4176,14.8106
400,57.4036,14.9293
400,56.7795,15.6175
400,58.2763,14.874
400,58.2468,15.0977
400,58.0703,14.6941
400,57.8862,14.7147
400,59.8159,14.993
400,57.657,14.5571
400,58.8791,15.1843
400,58.5422,15.2833
400,58.713,14.6647
400,60.4886,15.0454
400,58.2351,14.9107
400,59.7136,15.6458
400,58.3783,15.08
400,57.7649,14.7486
400,57.9467,14.8264
400,57.843,14.562
400,59.8156,14.6072
400,64.0832,14.3037
400,58.7585,14.3269
400,59.2041,15.0935
400,59.2527,15.3613
400,57.8255,14.6699
400,62.6765,14.5226
400,57.2755,15.7528
400,55.7631,14.7802
400,58.3937,15.319
400,63.2964,15.1589
400,63.6975,15.9365
400,62.6706,16.2254
400,63.7424,15.7083
400,62.2224,15.351
400,63.1319,14.887
400,56.8735,15.2612
400,61.8236,15.4242
400,63.0351,14.8655
400,58.0905,16.3231
400,58.4813,15.4621
400,63.802,14.628
400,61.2197,14.94
400,58.7652,15.6339
400,61.9388,15.4614
400,57.9625,15.8058
400,63.4782,15.0504
400,57.703,15.099
400,59.1949,15.7589
400,57.4127,15.1296
400,62.654,15.6808
400,54.9362,15.5843
400,58.0854,15.3656
400,57.8191,15.7443
400,60.3405,15.1635
400,64.3174,15.0817
400,62.3652,15.2719
400,63.4097,14.9567
400,59.684,15.3656
400,61.335,15.2885
400,57.9372,15.3198
400,56.9606,15.0189
400,58.4743,15.8839
400,62.5918,15.1325
400,62.3589,14.8317
400,62.5223,15.1146
400,62.6023,15.3364
400,57.733,14.9879
400,55.8694,15.0671
400,57.9217,15.5776
400,58.9374,15.4208
400,56.5746,15.1791
400,63.0688,15.0298
400,58.7745,15.236
400,62.3973,15.8969
400,62.398,15.0608
400,63.5046,15.4364
400,58.896,15.4571
400,63.9521,15.1867
400,63.8216,15.737
400,63.0984,15.1745
400,60.1187,15.3547
400,59.1609,14.7115
400,62.9451,15.5304
400,62.8663,14.9207
400,59.8156,15.152
400,59.1054,15.8112
400,59.0062,15.5707
400,62.2892,14.853
400,57.0896,15.0778
400,58.2153,15.2738
400,57.5707,14.8867
400,58.4253,15.1591
400,59.2158,15.3478
400,63.3548,15.2677
400,57.7986,15.138
400,64.3174,15.262
400,63.1672,15.5014
400,62.7747,15.5091
400,58.71,15.2976
400,58.0741,15.1363
400,62.6126,15.6545
400,61.3004,14.8589
400,58.7678,15.8042
400,57.6617,15.003
400,57.8204,14.931
400,59.1999,14.6535
400,57.914,15.1606
400,58.4026,14.8078
400,59.3439,15.5395
400,63.3809,14.7904
400,63.3728,15.0188
400,63.9189,15.4884
400,58.5182,15.3067
400,59.0227,15.2258
400,57.6999,15.0182
400,56.1507,14.7768
400,59.102,15.6254
400,62.2264,15.5321
400,58.8799,14.9202
400,55.4676,15.675
400,58.9041,15.967
400,59.0516,15.1269
400,59.1773,14.9784
400,57.2928,15.2875
400,58.115,14.8572
400,63.9489,15.3456
400,63.1801,15.2152
400,57.6487,15.5133
400,60.0337,15.693
400,63.0136,15.3248
400,57.0166,15.3508
400,59.6309,15.2258
400,58.9042,15.8659
400,63.1931,15.1892
400,63.3857,15.081
400,63.8351,15.3101
400,59.1054,15.5075
400,61.9782,15.4514
400,62.1051,15.1523
400,63.2453,15.0546
400,60.776,15.4075
400,57.741,15.0116
400,62.5156,14.9642
400,62.8792,15.2319
400,55.9873,15.5838
400,63.2003,14.884
400,63.6762,15.435
400,62.3301,14.6682
400,62.1322,15.0028
400,59.6055,14.7679
400,56.3949,14.8813
400,63.3772,14.9989
400,58.2035,15.7441
400,55.4188,15.4669
400,56.6553,15.2004
400,59.5396,15.3938
400,61.1188,15.9976
400,56.7037,15.3006
400,56.3039,15.0403
400,63.9755,14.9793
400,57.3236,15.8313
400,56.995,14.7881
400,58.4245,14.9188
400,57.6334,14.7772
400,62.7384,15.3736
400,63.876,15.4778
400,63.7035,15.3921
400,58.5227,14.9663
400,58.9091,15.6075
400,59.1624,15.3865
400,60.2937,15.4823
400,58.9789,14.8294
400,63.5585,14.7755
400,63.2395,15.2637
400,57.7777,15.5891
400,58.4842,15.4789
400,57.9927,14.839
400,62.2957,15.0406
400,57.9332,15.3424
400,62.7924,15.0276
400,60.4614,16.3295
400,63.6898,15.4218
400,63.6896,15.3695
400,59.0894,15.3681
400,58.0546,14.8069
400,59.4848,15.2555
400,55.2182,14.7642
400,62.0231,15.2684
400,56.7814,14.9383
400,63.4513,15.1737
400,62.0958,15.0627
400,56.0602,15.4214
400,58.2274,16.8154
400,62.3022,15.9679
400,58.9977,15.2379
400,58.8296,15.0063
400,62.7595,15.2724
400,57.3427,15.039
400,56.7359,14.8942
400,58.3638,15.1938
400,58.366,15.2708
400,62.9866,15.0359
400,57.3346,15.1137
400,62.664,15.7882
400,57.2575,15.2104
400,58.0708,15.1459
400,58.8459,15.2077
400,63.2751,15.2729
400,63.1178,14.8463
400,62.3257,15.1958
400,56.9698,15.5999
400,57.8016,15.2237
400,58.0165,15.1792
400,63.298,15.7432
400,59.3287,15.6323
400,63.1538,15.7589
400,61.5791,15.3489
400,63.7523,15.4032
400,58.1495,15.453
400,57.2076,15.399
400,64.1937,15.6027
400,63.9569,15.4271
400,63.6746,15.5062
400,57.2462,15.7308
400,58.1021,14.9316
400,59.3235,14.7609
400,57.6195,15.2105
400,63.4664,15.4114
400,58.3449,15.6645
400,59.0636,14.9034
400,57.4485,15.1921
400,58.3024,15.3021
400,63.0856,15.7253
400,58.0769,15.0135
400,58.5673,14.7028
400,58.6754,14.8882
400,56.6829,15.4996
400,56.8936,15.3099
400,62.6289,15.9555
400,63.1717,16.0306
400,57.7187,15.3138
400,61.5309,14.931
400,63.7134,14.728
400,62.691,15.7002
400,57.0398,15.1069
400,57.1537,15.279
400,56.6908,15.0315
400,57.4035,15.4717
400,63.1182,15.0125
400,63.4553,15.4024
400,63.5046,15.4356
400,56.7242,15.9436
400,57.9178,15.2605
400,62.2738,15.0575
400,62.6188,15.5778
400,58.579,14.87
400,62.886,15.0335
400,60.873,14.7731
400,56.1317,15.3932
400,57.1911,15.4024
400,59.5994,15.0624
400,63.308,16.1139
400,59.2866,15.6112
400,63.8397,15.2309
400,57.3422,15.286
400,58.8118,15.4636
400,58.5337,15.7277
400,59.2866,15.029
400,59.2866,15.062
400,59.297,15.0533
400,62.4375,15.2302
400,58.0944,15.2835
400,57.1092,15.0441
400,62.1131,14.6279
400,56.0643,16.1256
400,62.4849,15.6425
400,57.6287,15.16
400,58.1011,15.3935
400,61.1544,15.0761
400,62.2821,15.3582
400,58.4682,14.6384
400,61.573,15.5469
400,57.6632,14.989
400,57.3334,15.7102
400,62.0627,15.1595
400,62.6578,15.6605
400,63.4887,15.7311
400,61.8316,14.9317
400,63.0416,15.4572
400,57.741,15.1837
400,62.4343,15.4372
400,63.2836,15.1875
400,63.0346,15.0057
400,58.7948,15.3914
400,58.1224,15.171
400,63.9918,14.9426
400,63.9189,15.2963
400,61.5556,15.1289
400,63.2364,16.3471
400,58.4578,15.7174
400,58.3042,15.3868
400,58.278,15.3875
400,59.1911,15.2468
400,58.8822,14.9904
400,55.1632,14.9657
400,58.5284,14.9044
400,63.7134,15.2225
400,62.7493,15.1064
400,57.4829,14.7937
400,62.5281,15.6155
400,57.6986,15.6207
400,56.6358,15.6995
400,62.0552,15.188
400,63.3352,15.3122
400,59.3831,15.2121
400,59.0649,15.2065
400,63.3969,14.9463
400,62.2976,15.0032
400,57.9372,15.3421
400,59.3118,14.9626
400,63.403,15.4232
400,58.177,16.4602
400,58.9616,15.4014
400,62.3973,14.9866
400,58.7635,15.6672
400,57.8585,15.8637
400,62.798,15.4622
400,62.8426,15.2787
400,58.3209,15.1911
400,63.2576,15.279
400,62.1274,15.2542
400,61.319,15.2339
400,57.8985,15.2675
400,56.9055,15.8847
400,58.0991,15.1867
400,63.4887,15.1985
400,62.4948,15.3428
400,57.1388,15.2144
400,59.3241,15.3271
400,57.7206,15.2352
400,57.1929,15.1766
400,57.0005,15.2451
400,56.228,15.0953
400,59.1609,15.1259
400,58.3756,15.2479
400,62.0599,15.3916
400,61.9618,15.2788
400,59.1361,14.8598
400,59.9945,15.8553
400,62.3544,15.0605
400,63.7424,15.6155
400,62.2625,15.5357
400,63.2312,15.4218
400,63.2883,15.676
400,60.1414,14.823
400,58.1683,15.3633
400,56.4392,15.1525
400,57.029,15.6595
400,57.0625,15.1869
400,62.094,15.9503
400,57.1225,14.9661
400,63.2863,15.3234
400,57.154,15.319
400,63.0969,15.2
400,62.6289,16.0041
400,58.1924,15.5275
400,57.5909,15.7277
400,58.8965,15.8994
400,58.9986,16.2275
400,58.9374,15.3187
400,57.3193,15.0699
400,58.496,15.1296
400,62.691,15.4427
400,62.6501,14.6298
400,62.6444,15.0973
400,62.0748,15.1795
400,58.927,15.4271
400,58.5197,14.9575
400,58.849,14.7546
400,63.8444,15.3048
400,56.4061,16.1349
400,56.3522,15.0036
400,58.0758,15.7432
400,57.7773,15.1296
400,61.9859,15.424
400,59.8857,14.7519
400,59.2454,15.022
400,58.408,15.0192
400,59.3887,15.6652
400,58.1067,15.4614
400,58.9292,15.4739
400,56.0055,14.8005
400,57.4686,16.0746
400,58.9768,15.4848
400,59.4047,15.2077
400,62.5381,14.8671
400,62.921,15.0828
400,59.297,14.8005
400,61.5311,15.0046
400,57.6551,15.4291
400,58.6671,15.3145
400,62.3008,15.5235
400,58.6749,15.3042
400,56.9025,15.361
400,56.4946,15.8352
400,59.281,15.5909
400,62.3574,15.3698
400,58.6323,15.2921
400,57.1176,15.1353
400,58.399,15.2694
400,58.4576,15.3902
400,58.7943,15.684
400,56.8567,15.127
400,57.544,14.9716
400,59.1949,15.5034
400,63.2416,15.5494
400,58.7769,15.4314
400,62.0099,15.325
400,62.846,14.557
400,63.3857,15.0733
400,63.6896,15.103
400,58.4641,15.2642
400,56.3575,15.1834
400,58.2406,14.9378
400,57.883,15.0242
400,56.7246,14.7127
400,58.9601,14.9801
400,61.9033,14.9217
400,57.2682,15.1223
400,57.6296,14.9327
400,62.3799,14.4981
400,56.1799,15.6642
400,57.6222,14.997
400,58.8724,15.0772
400,62.2921,14.9072
400,61.1383,15.205
400,57.6061,15.1888
400,57.93,15.3981
400,63.9078,15.6716
400,58.2231,15.6697
400,59.6395,15.7068
400,59.743,14.7945
400,57.1673,15.3253
400,59.297,15.3378
400,58.3549,14.9581
400,58.7189,15.6091
400,63.001,15.2616
400,58.9977,14.7799
400,61.9988,14.9595
400,62.8405,15.7627
400,63.6004,15.4327
400,63.9755,15.8186
400,57.1977,15.293
400,58.3987,15.7712
400,62.0311,14.6676
400,62.7022,14.9668
400,57.2778,15.0979
400,59.9233,15.2231
400,63.0564,15.2229
400,57.9623,15.4835
400,58.8502,15.2486
400,57.1974,15.0097
400,61.0243,15.1045
400,60.935,15.4553
400,63.3697,15.3457
400,62.4311,15.2197
400,63.7964,15.4719
400,63.7895,15.2003
400,57.813,15.6913
400,57.1043,15.0121
400,58.8812,15.289
400,59.3831,15.0413
400,56.5278,14.8738
400,61.1922,15.4491
400,57.7338,15.5641
400,57.9791,15.7376
400,60.011,14.84
400,63.4064,15.1066
400,59.4483,14.9388
400,58.0343,14.9953
400,57.4281,15.4687
400,59.1911,15.5625
400,56.9655,15.7548
400,62.6666,14.8389
400,62.3467,14.8445
400,58.7987,15.0178
400,58.9734,15.219
400,63.0856,15.8308
400,58.7609,15.6883
400,58.3286,15.6853
400,63.358,14.9633
400,64.2097,14.8633
400,56.3818,15.2788
400,61.7793,14.7355
400,63.2395,15.3123
400,63.5185,15.0563
400,61.5835,16.1952
400,60.368,15.7551
400,63.3441,16.0786
400,58.1897,16.2928
400,58.4911,15.6374
400,62.2957,15.596
400,57.3321,14.4772
400,58.0063,15.7501
400,58.2297,15.3692
400,58.463,14.952
400,58.1046,14.9002
400,62.2409,15.8397
400,63.3441,15.6368
400,57.6043,15.4193
400,55.3655,15.7987
400,56.9142,14.7526
400,57.1925,15.5033
400,59.0791,14.8245
400,58.0875,15.4076
